"date","year","month","country","sector","value"
2015-06-01,2015,6,"europe","total_hist_mtco2",253.095343659239
2015-06-01,2015,6,"russia","power_mtco2",48.3545911840799
2015-06-01,2015,6,"russia","industry_mtco2",23.8536642265305
2015-06-01,2015,6,"russia","residential_mtco2",13.665
2015-06-01,2015,6,"russia","aviation_mtco2",1.26583333333333
2015-06-01,2015,6,"russia","transport_mtco2",18.7825
2015-06-01,2015,6,"russia","total_hist_mtco2",105.921588743944
2015-06-01,2015,6,"japan","power_mtco2",50.8385276531258
2015-06-01,2015,6,"japan","industry_mtco2",24.3547679360053
2015-06-01,2015,6,"japan","residential_mtco2",9.94333333333333
2015-06-01,2015,6,"japan","aviation_mtco2",0.834166666666667
2015-06-01,2015,6,"japan","transport_mtco2",16.4866666666667
2015-06-01,2015,6,"japan","total_hist_mtco2",102.457462255798
2015-06-01,2015,6,"brazil","power_mtco2",8.82984602434857
2015-06-01,2015,6,"brazil","industry_mtco2",12.1365775401069
2015-06-01,2015,6,"brazil","residential_mtco2",3.3225
2015-06-01,2015,6,"brazil","aviation_mtco2",0.9125
2015-06-01,2015,6,"brazil","transport_mtco2",15.5308333333333
2015-06-01,2015,6,"brazil","total_hist_mtco2",40.7322568977888
2015-06-01,2015,6,"germany","power_mtco2",20.9234864126689
2015-06-01,2015,6,"germany","industry_mtco2",10.8732338932063
2015-06-01,2015,6,"germany","residential_mtco2",10.9891666666667
2015-06-01,2015,6,"germany","aviation_mtco2",0.183333333333333
2015-06-01,2015,6,"germany","transport_mtco2",12.9458333333333
2015-06-01,2015,6,"germany","total_hist_mtco2",55.9150536392085
2015-06-01,2015,6,"france","power_mtco2",0.709866099401767
2015-06-01,2015,6,"france","industry_mtco2",5.34013916666667
2015-06-01,2015,6,"france","residential_mtco2",6.5125
2015-06-01,2015,6,"france","aviation_mtco2",0.2
2015-06-01,2015,6,"france","transport_mtco2",9.99916666666667
2015-06-01,2015,6,"france","total_hist_mtco2",22.7616719327351
2015-06-01,2015,6,"italy","power_mtco2",6.78560821941009
